Date,Price,,,,,
28-Feb-25,109.54,,,,,
31-Jan-25,99.86,,,,,
31-Dec-24,115.95,,,,,
30-Nov-24,120.79,,,,,
31-Oct-24,137.18,,,,,
30-Sep-24,144.07,,,,,
31-Aug-24,164.08,,,,,
31-Jul-24,148.56,,,,,
30-Jun-24,144.48,,,,,
31-May-24,162.21,,,,,
30-Apr-24,166.9,,,,,
31-Mar-24,158.38,,,,,
29-Feb-24,180.49,,,,,
31-Jan-24,192.53,,,,,
31-Dec-23,167.69,,,,,
30-Nov-23,147.41,,,,,
31-Oct-23,121.16,,,,,
30-Sep-23,98.5,,,,,
31-Aug-23,102.82,,,,,
31-Jul-23,105.72,,,,,
30-Jun-23,114.4,,,,,
31-May-23,113.91,,,,,
30-Apr-23,118.21,,,,,
31-Mar-23,89.37,,,,,
28-Feb-23,98.01,,,,,
31-Jan-23,78.58,,,,,
31-Dec-22,75.15,,,,,
30-Nov-22,64.77,,,,,
31-Oct-22,77.63,,,,,
30-Sep-22,60.06,,,,,
31-Aug-22,63.36,,,,,
31-Jul-22,84.87,,,,,
30-Jun-22,94.47,,,,,
31-May-22,76.47,,,,,
30-Apr-22,101.86,,,,,
31-Mar-22,85.52,,,,,
28-Feb-22,109.34,,,,,
31-Jan-22,123.34,,,,,
31-Dec-21,114.25,,,,,
30-Nov-21,143.9,,,,,
31-Oct-21,158.37,,,,,
30-Sep-21,120.23,,,,,
31-Aug-21,102.9,,,,,
31-Jul-21,110.72,,,,,
30-Jun-21,106.19,,,,,
31-May-21,93.93,,,,,
30-Apr-21,80.08,,,,,
31-Mar-21,81.62,,,,,
28-Feb-21,78.5,,,,,
31-Jan-21,84.51,,,,,
31-Dec-20,85.64,,,,,
30-Nov-20,91.71,,,,,
31-Oct-20,92.66,,,,,
30-Sep-20,75.29,,,,,
31-Aug-20,81.99,,,,,
31-Jul-20,90.82,,,,,
30-Jun-20,77.43,,,,,
31-May-20,52.61,,,,,
30-Apr-20,53.8,,,,,
31-Mar-20,52.39,,,,,
29-Feb-20,45.48,,,,,
31-Jan-20,45.48,,,,,
31-Dec-19,47,,,,,
30-Nov-19,45.86,,,,,
31-Oct-19,39.15,,,,,
30-Sep-19,33.93,,,,,
31-Aug-19,28.99,,,,,
31-Jul-19,31.45,,,,,
30-Jun-19,30.45,,,,,
31-May-19,30.37,,,,,
30-Apr-19,27.41,,,,,
31-Mar-19,27.63,,,,,
28-Feb-19,25.52,,,,,
31-Jan-19,23.53,,,,,
31-Dec-18,24.41,,,,,
30-Nov-18,18.46,,,,,
31-Oct-18,21.3,,,,,
30-Sep-18,18.21,,,,,
31-Aug-18,30.89,,,,,
31-Jul-18,25.17,,,,,
30-Jun-18,18.33,,,,,
31-May-18,14.99,,,,,
30-Apr-18,13.73,,,,,
31-Mar-18,10.88,,,,,
